Unnamed: 0,Manufacturer,Category,GPU,OS,CPU_core,CPU_frequency,RAM_GB,Storage_GB_SSD,Price,screen_size_inches,Weight_lb,Price_binned,Unnamed: 0,Manufacturer,Category,GPU,OS,CPU_core,CPU_frequency,RAM_GB,Storage_GB_SSD,Price,screen_size_inches,Weight_lb,Price_binned,Screen_Full HD,Screen_IPS Panel
0,Acer,4,2,1,5,0.5517241379310345,8,256,978,14.0,3.53,Low,0,Acer,4,2,1,5,0.5517241379310345,8,256,978,14.0,3.53,Low,False,True
1,Dell,3,1,1,3,0.6896551724137931,4,256,634,15.6,4.85,Low,1,Dell,3,1,1,3,0.6896551724137931,4,256,634,15.6,4.85,Low,True,False
2,Dell,3,1,1,7,0.9310344827586208,8,256,946,15.6,4.85,Low,2,Dell,3,1,1,7,0.9310344827586208,8,256,946,15.6,4.85,Low,True,False
3,Dell,4,2,1,5,0.5517241379310345,8,128,1244,13.3,2.69,Low,3,Dell,4,2,1,5,0.5517241379310345,8,128,1244,13.3,2.69,Low,False,True
4,HP,4,2,1,7,0.6206896551724138,8,256,837,15.6,4.21,Low,4,HP,4,2,1,7,0.6206896551724138,8,256,837,15.6,4.21,Low,True,False
5,Dell,3,1,1,5,0.5517241379310345,8,256,1016,15.6,4.85,Low,5,Dell,3,1,1,5,0.5517241379310345,8,256,1016,15.6,4.85,Low,True,False
6,HP,3,3,1,5,0.5517241379310345,8,256,1117,15.6,4.63,Low,6,HP,3,3,1,5,0.5517241379310345,8,256,1117,15.6,4.63,Low,True,False
7,Acer,3,2,1,5,0.5517241379310345,4,256,866,15.0,4.85,Low,7,Acer,3,2,1,5,0.5517241379310345,4,256,866,15.0,4.85,Low,False,True
8,Dell,3,1,1,5,0.8620689655172414,4,256,812,15.6,5.07,Low,8,Dell,3,1,1,5,0.8620689655172414,4,256,812,15.6,5.07,Low,True,False
9,Acer,3,3,1,7,0.6206896551724138,8,256,1068,15.0,4.85,Low,9,Acer,3,3,1,7,0.6206896551724138,8,256,1068,15.0,4.85,Low,False,True
10,Dell,3,1,1,7,0.6206896551724138,8,256,975,15.6,4.7,Low,10,Dell,3,1,1,7,0.6206896551724138,8,256,975,15.6,4.7,Low,True,False
11,HP,3,2,1,3,0.6896551724137931,4,128,558,15.6,4.21,Low,11,HP,3,2,1,3,0.6896551724137931,4,128,558,15.6,4.21,Low,True,False
12,Asus,3,2,2,3,0.6896551724137931,4,256,527,15.6,4.41,Low,12,Asus,3,2,2,3,0.6896551724137931,4,256,527,15.6,4.41,Low,True,False
